state,x,y
Andhra Pradesh,-72,-139
Arunachal Pradesh,202,149
Assam,182,105
Bihar,49,83
Chhattisgarh,-25,1
Goa,176,-124
Gujarat,-211,38
Haryana,-122,163
Himachal Pradesh,-102,222
Jharkhand,40,47
Karnataka,-142,-145
Kerala,-126,-240
Madhya Pradesh,-118,16
Maharashtra,-146,-41
Manipur,210,79
Meghalaya,152,91
Mizoram,188,50
Nagaland,219,112
Odisha,33,-14
Punjab,-137,192
Rajasthan,-168,109
Sikkim,101,130
Tamilnadu,-89,-216
Telangana,-74,-79
Tripura,167,56
Uttar Pradesh,-58,120
Uttarakhand,-79,179
West Bengal,92,32